Wavelength,R
860.000000, 99.051750
859.000000, 99.471400
858.000000, 99.676514
857.000000, 99.186468
856.000000, 99.087778
855.000000, 98.871485
854.000000, 98.970299
853.000000, 98.986733
852.000000, 99.045827
851.000000, 98.818074
850.000000, 99.420826
849.000000, 99.180074
848.000000, 99.262146
847.000000, 99.167842
846.000000, 99.016208
845.000000, 99.178867
844.000000, 99.331225
843.000000, 99.280170
842.000000, 99.099327
841.000000, 99.234300
840.000000, 99.362338
839.000000, 99.204188
838.000000, 99.150606
837.000000, 99.052958
836.000000, 99.103491
835.000000, 99.086203
834.000000, 99.118148
833.000000, 99.012951
832.000000, 98.995329
831.000000, 98.953605
830.000000, 99.196039
829.000000, 99.141603
828.000000, 99.129746
827.000000, 99.091522
826.000000, 99.267856
825.000000, 99.213628
824.000000, 99.076481
823.000000, 99.036982
822.000000, 99.146274
821.000000, 99.248235
820.000000, 99.219175
819.000000, 99.237774
818.000000, 99.065677
817.000000, 99.175296
816.000000, 99.295080
815.000000, 99.268610
814.000000, 99.301760
813.000000, 99.173008
812.000000, 99.305317
811.000000, 99.254824
810.000000, 99.122012
809.000000, 99.151000
808.000000, 99.119856
807.000000, 99.166419
806.000000, 99.213145
805.000000, 99.080945
804.000000, 99.206210
803.000000, 99.091825
802.000000, 99.311893
801.000000, 99.268856
800.000000, 99.260141
799.000000, 99.200462
798.000000, 99.261248
797.000000, 99.130358
796.000000, 99.184861
795.000000, 99.211435
794.000000, 99.210359
793.000000, 99.262509
792.000000, 99.183213
791.000000, 99.143610
790.000000, 99.250963
789.000000, 99.282112
788.000000, 99.272123
787.000000, 99.213062
786.000000, 99.200953
785.000000, 99.170094
784.000000, 99.155049
783.000000, 99.147577
782.000000, 99.211479
781.000000, 99.148343
780.000000, 99.174235
779.000000, 99.246446
778.000000, 99.267080
777.000000, 99.179410
776.000000, 99.195172
775.000000, 99.227704
774.000000, 99.226682
773.000000, 99.181687
772.000000, 99.273970
771.000000, 99.185253
770.000000, 99.119026
769.000000, 99.201244
768.000000, 99.137300
767.000000, 99.041410
766.000000, 99.098815
765.000000, 99.042189
764.000000, 99.016545
763.000000, 99.081812
762.000000, 99.086824
761.000000, 99.076497
760.000000, 99.079309
759.000000, 99.122957
758.000000, 99.121105
757.000000, 99.094147
756.000000, 99.101007
755.000000, 99.150421
754.000000, 99.102328
753.000000, 99.121098
752.000000, 99.153699
751.000000, 99.150816
750.000000, 99.204996
749.000000, 99.185931
748.000000, 99.138261
747.000000, 99.182745
746.000000, 99.226079
745.000000, 99.258712
744.000000, 99.251249
743.000000, 99.247283
742.000000, 99.276249
741.000000, 99.242857
740.000000, 99.303910
739.000000, 99.315586
738.000000, 99.239299
737.000000, 99.219998
736.000000, 99.197939
735.000000, 99.242731
734.000000, 99.374006
733.000000, 99.299690
732.000000, 99.223338
731.000000, 99.256845
730.000000, 99.241326
729.000000, 99.265911
728.000000, 99.281908
727.000000, 99.248145
726.000000, 99.309000
725.000000, 99.312168
724.000000, 99.282470
723.000000, 99.334845
722.000000, 99.331833
721.000000, 99.294347
720.000000, 99.271088
719.000000, 99.301774
718.000000, 99.338893
717.000000, 99.302074
716.000000, 99.301336
715.000000, 99.289608
714.000000, 99.290847
713.000000, 99.282588
712.000000, 99.266673
711.000000, 99.271080
710.000000, 99.300719
709.000000, 99.332901
708.000000, 99.303789
707.000000, 99.304086
706.000000, 99.315518
705.000000, 99.310854
704.000000, 99.334057
703.000000, 99.303906
702.000000, 99.263136
701.000000, 99.276393
700.000000, 99.295657
699.000000, 99.278140
698.000000, 99.243959
697.000000, 99.254980
696.000000, 99.293819
695.000000, 99.275113
