wavelength	a	efficiency	b	c
302	0.2041	0.2041	0.2041	0.2041
303	0.2242	0.2242	0.2242	0.2242
304	0.2443	0.2443	0.2443	0.2443
305	0.2644	0.2644	0.2644	0.2644
306	0.2845	0.2845	0.2845	0.2845
307	0.2806	0.2806	0.2806	0.2806
308	0.2695	0.2695	0.2695	0.2695
309	0.2583	0.2583	0.2583	0.2583
310	0.2471	0.2471	0.2471	0.2471
311	0.2499	0.2499	0.2499	0.2499
312	0.27	0.27	0.27	0.27
313	0.2901	0.2901	0.2901	0.2901
314	0.3102	0.3102	0.3102	0.3102
315	0.3303	0.3303	0.3303	0.3303
316	0.3373	0.3373	0.3373	0.3373
317	0.3373	0.3373	0.3373	0.3373
318	0.3373	0.3373	0.3373	0.3373
319	0.3373	0.3373	0.3373	0.3373
320	0.3373	0.3373	0.3373	0.3373
321	0.3459	0.3459	0.3459	0.3459
322	0.3559	0.3559	0.3559	0.3559
323	0.366	0.366	0.366	0.366
324	0.376	0.376	0.376	0.376
325	0.385	0.385	0.385	0.385
326	0.3738	0.3738	0.3738	0.3738
327	0.3627	0.3627	0.3627	0.3627
328	0.3515	0.3515	0.3515	0.3515
329	0.3404	0.3404	0.3404	0.3404
330	0.3373	0.3373	0.3373	0.3373
331	0.3373	0.3373	0.3373	0.3373
332	0.3373	0.3373	0.3373	0.3373
333	0.3373	0.3373	0.3373	0.3373
334	0.3373	0.3373	0.3373	0.3373
335	0.328	0.328	0.328	0.328
336	0.318	0.318	0.318	0.318
337	0.308	0.308	0.308	0.308
338	0.2979	0.2979	0.2979	0.2979
339	0.2879	0.2879	0.2879	0.2879
340	0.2778	0.2778	0.2778	0.2778
341	0.2678	0.2678	0.2678	0.2678
342	0.2578	0.2578	0.2578	0.2578
343	0.2477	0.2477	0.2477	0.2477
344	0.2377	0.2377	0.2377	0.2377
345	0.2277	0.2277	0.2277	0.2277
346	0.2176	0.2176	0.2176	0.2176
347	0.2076	0.2076	0.2076	0.2076
348	0.1975	0.1975	0.1975	0.1975
349	0.2045	0.2045	0.2045	0.2045
350	0.2268	0.2268	0.2268	0.2268
351	0.2491	0.2491	0.2491	0.2491
352	0.2715	0.2715	0.2715	0.2715
353	0.2892	0.2892	0.2892	0.2892
354	0.2892	0.2892	0.2892	0.2892
355	0.2892	0.2892	0.2892	0.2892
356	0.2892	0.2892	0.2892	0.2892
357	0.3014	0.3014	0.3014	0.3014
358	0.3349	0.3349	0.3349	0.3349
359	0.3684	0.3684	0.3684	0.3684
360	0.4019	0.4019	0.4019	0.4019
361	0.4414	0.4414	0.4414	0.4404
362	0.5925	0.5925	0.5925	0.5717
363	0.7367	0.7367	0.7367	0.7031
364	0.8374	0.8374	0.8374	0.8345
365	0.938	0.938	0.938	0.9658
366	1.1516	1.1134	1.1158	1.0972
367	1.6795	1.497	1.5081	1.2286
368	2.2074	1.8806	1.9005	1.36
369	2.7353	2.2642	2.2929	1.4913
370	3.2633	2.6478	2.6853	1.6227
371	3.7912	3.0314	3.0777	1.7541
372	4.3191	3.415	3.4701	1.8863
373	4.847	3.874	3.8625	2.0375
374	5.3749	4.3787	4.2549	2.1886
375	5.9029	4.8817	4.6473	2.3398
376	6.4308	5.3847	5.0397	2.4909
377	6.9587	5.8877	5.4321	2.662
378	7.4866	6.3907	5.8245	2.8892
379	8.2398	6.8937	6.2169	3.1163
380	8.9919	7.3967	6.6093	3.3434
381	9.5443	7.8996	7.0017	3.6194
382	10.4472	8.4026	7.3941	3.9568
383	10.9553	8.9065	7.7865	4.2942
384	11.6049	9.4278	8.1789	4.6316
385	12.2154	9.9948	8.4525	4.969
386	12.8117	10.5618	8.6796	5.3063
387	13.3293	11.1288	9.1897	5.6636
388	13.8368	11.6423	9.7666	6.0282
389	14.2967	11.9539	10.3434	6.4341
390	14.8049	12.507	10.9202	6.9165
391	15.3992	13.2813	11.497	7.3364
392	16.065	14.0556	12.0388	7.6806
393	16.6762	14.7209	12.3422	8.0208
394	17.2764	15.0243	13.1768	8.3096
395	17.9233	15.4919	13.9945	8.5985
396	18.6341	16.1876	14.2217	8.8873
397	19.3893	16.9154	14.9417	9.1402
398	20.0212	17.6433	15.8515	9.38
399	20.6531	18.3374	16.0533	9.6198
400	21.2033	18.6408	16.4566	9.8596
401	21.7114	18.9442	17.0265	10.1111
402	22.1803	19.2927	17.5303	10.3636
403	22.6789	19.7544	17.732	10.6162
404	22.9657	20.0918	17.9284	10.8636
405	23.2182	20.3362	18.1099	11.0654
406	23.5194	20.5633	18.2914	11.2672
407	23.7585	20.749	18.7602	11.4689
408	23.94	20.9318	19.2683	11.6707
409	24.1068	21.1146	19.4356	11.8577
410	24.1823	21.2973	19.5968	12.0411
411	24.2577	21.4801	19.7861	12.2244
412	24.3331	21.6629	19.9946	12.4078
413	24.3924	21.8457	20.2032	12.5911
414	24.4147	21.994	20.4117	12.723
415	24.437	22.0568	20.6202	12.8118
416	24.4593	22.1197	20.8288	12.9006
417	24.4817	22.1825	21.0373	12.9893
418	24.4621	22.227	21.171	13.0781
419	24.442	22.2493	21.2044	13.1669
420	24.422	22.2716	21.2379	13.2557
421	24.4019	22.294	21.2714	13.3445
422	24.367	22.2997	21.2984	13.3909
423	24.2668	22.1995	21.2733	13.3741
424	24.1667	22.0994	21.2482	13.3574
425	24.0665	21.9992	21.2232	13.3407
426	23.8646	21.8531	21.1573	13.324
427	23.6399	21.6931	20.9804	13.3072
428	23.4152	21.5259	20.8035	13.2905
429	23.1905	21.346	20.6266	13.2738
430	22.8947	21.166	20.4497	13.2571
431	22.5624	20.6401	20.2729	13.1569
432	22.1975	20.0959	20.0959	13.0301
433	21.8325	19.8961	19.8961	12.9033
434	21.4874	19.6977	19.6977	12.7765
435	21.1383	19.5178	19.5178	12.6497
436	20.7118	19.3378	19.3378	12.523
437	20.3798	19.0571	19.0571	12.3962
438	19.9286	18.7008	18.7008	12.2355
439	19.4696	18.2815	18.2815	12.0457
440	18.9841	17.9495	17.9495	11.8558
441	18.584	17.6175	17.6175	11.6659
442	18.206	17.2916	17.2844	11.476
443	17.8459	16.9778	16.9492	11.3282
444	17.5139	16.6639	16.614	11.1973
445	17.1304	16.35	16.2788	11.0665
446	16.7436	16.0361	15.9436	10.9356
447	16.3568	15.7222	15.6083	10.8047
448	15.9699	15.4083	15.2731	10.6738
449	15.5831	15.0945	14.9379	10.5198
450	15.1963	14.7806	14.6027	10.3381
451	14.8095	14.4667	14.2675	10.1563
452	14.4226	14.2121	13.9323	9.9746
453	14.0358	13.9874	13.597	9.7928
454	13.649	13.6442	13.2618	9.6066
455	13.2622	13.258	12.9266	9.3958
456	12.8753	12.8718	12.5914	9.1849
457	12.4885	12.4856	12.2562	8.974
458	12.1017	12.0994	11.9209	8.7631
459	11.7149	11.7132	11.5857	8.5773
460	11.328	11.3271	11.2505	8.3973
461	10.9412	10.9409	10.9153	8.2174
462	10.6574	10.6574	10.6574	8.0374
