Wavelength	R
185.0	57.404088
186.0	45.541579999999996
187.0	34.97424
188.0	25.081728
189.0	31.735438
190.0	30.563162000000002
191.0	31.900568
192.0	32.589508
193.0	31.95094
194.0	32.195842
195.0	34.848212
196.0	34.446999999999996
197.0	34.15251
198.0	34.584298000000004
199.0	34.879571999999996
200.0	35.144564
201.0	35.817138
202.0	36.124269999999996
203.0	36.566936
204.0	37.506952
205.0	37.586724
206.0	38.077312
207.0	38.717742
208.0	39.254782
209.0	39.675594000000004
210.0	40.173238
211.0	40.887756
212.0	41.017606
213.0	41.138929999999995
214.0	41.481244000000004
215.0	41.982023999999996
216.0	42.474081999999996
217.0	42.958104
218.0	43.649102
219.0	43.956822
220.0	44.13626
221.0	44.424282
222.0	44.674279999999996
223.0	44.727101999999995
224.0	45.342541999999995
225.0	45.823918
226.0	46.245808
227.0	46.756094
228.0	47.28647
229.0	47.236881999999994
230.0	47.227866
231.0	47.053426
232.0	47.091156
233.0	47.117224
234.0	47.260794
235.0	47.574884
236.0	47.702382
237.0	47.857516000000004
238.0	47.764905999999996
239.0	47.835172
240.0	47.867708
241.0	48.404748
242.0	48.824188
243.0	49.340648
244.0	49.85995
245.0	50.183742
246.0	50.181684000000004
247.0	50.097502
248.0	50.023218
249.0	49.754208
250.0	49.801835999999994
251.0	50.00499
252.0	50.374744
253.0	50.795066
254.0	51.503409999999995
255.0	51.86552
256.0	52.058384000000004
257.0	51.94637
258.0	51.545942000000004
259.0	51.065742
260.0	50.767038
261.0	50.798398
262.0	51.05506
263.0	51.773694
264.0	52.476746
265.0	53.234678
266.0	53.593162
267.0	53.67587399999999
268.0	53.36884
269.0	52.877272
270.0	51.916186
271.0	51.233812
272.0	50.82103599999999
273.0	50.699516
274.0	50.611414
275.0	51.162761999999994
276.0	51.412858
277.0	51.51762
278.0	51.440788
279.0	51.101904
280.0	50.104852
281.0	49.08232
282.0	47.82204
283.0	46.518248
284.0	45.679857999999996
285.0	45.193974000000004
286.0	45.045994
287.0	45.343914
288.0	45.75865
289.0	45.796478
290.0	45.75953199999999
291.0	45.217396
292.0	44.118815999999995
293.0	42.63686
294.0	40.881876
295.0	38.852198
296.0	37.058602
297.0	35.548226
298.0	34.56166
299.0	34.345766
300.0	34.617422
301.0	35.359184000000006
302.0	36.29136
303.0	37.219518
304.0	37.710792000000005
305.0	37.761066
306.0	37.267047999999996
307.0	36.073604
308.0	34.404565999999996
309.0	32.470144000000005
310.0	30.675372
311.0	28.903728
312.0	27.63845
313.0	27.001646
314.0	27.014875999999997
315.0	27.501152
316.0	28.622173999999998
317.0	29.960559999999997
318.0	31.309824
319.0	32.45907
320.0	33.374096
321.0	33.569606
322.0	33.453573999999996
323.0	32.578433999999994
324.0	31.340792
325.0	29.724184
326.0	28.009282
327.0	26.313294
328.0	25.043802
329.0	24.12613
330.0	23.769802
331.0	24.07174
332.0	24.756956
333.0	25.791542
334.0	27.18177
335.0	28.602867999999997
336.0	29.981336
337.0	31.07972
338.0	31.729557999999997
339.0	31.914288000000003
340.0	31.576972
341.0	30.752498
342.0	29.633729999999996
343.0	28.175686
344.0	26.411686
345.0	24.746078
346.0	23.304596
347.0	22.201704
348.0	21.677207999999997
349.0	21.774032
350.0	22.283436
351.0	23.209633999999998
352.0	24.558898
353.0	26.142381999999998
354.0	27.855324
355.0	29.520442
356.0	30.994656
357.0	32.16458
358.0	32.88292
359.0	33.178978
360.0	32.920159999999996
361.0	32.09647
362.0	30.775724
363.0	29.31082
364.0	27.554071999999998
365.0	25.830153999999997
366.0	24.260488000000002
367.0	22.976785999999997
368.0	21.919169999999998
369.0	21.377328000000002
370.0	21.292656
371.0	21.624875999999997
372.0	22.489236
373.0	23.585366
374.0	24.729124
375.0	26.100928
376.0	27.48802
377.0	28.553868
378.0	29.487514
379.0	30.187821999999997
380.0	30.407145999999997
381.0	30.285822
382.0	29.71458
383.0	28.85463
384.0	27.577787999999998
385.0	26.039285999999997
386.0	24.254314
387.0	22.439354
388.0	20.474552
389.0	18.78611
390.0	17.214386
391.0	15.902656
392.0	14.945588
393.0	14.49077
394.0	14.297122
395.0	14.666778
396.0	15.367379999999999
397.0	16.410394
398.0	17.618832
399.0	19.0316
400.0	20.395662
401.0	21.788829999999997
402.0	23.023238
403.0	24.058608
404.0	24.843294
405.0	25.42267
406.0	25.66228
407.0	25.654734
408.0	25.385724
409.0	24.860737999999998
410.0	24.077913999999996
411.0	23.053814
412.0	21.85743
413.0	20.49719
414.0	19.040518
415.0	17.529162
416.0	16.136385999999998
417.0	14.806329999999999
418.0	13.673155999999999
419.0	12.778415999999998
420.0	12.17748
421.0	11.849474
422.0	11.89083
423.0	12.2843
424.0	12.991271999999999
425.0	13.865236
426.0	15.044862
427.0	16.338854
428.0	17.61599
429.0	18.937618
430.0	20.27375
431.0	21.404474
432.0	22.397115999999997
433.0	23.288426
434.0	23.926896
435.0	24.352216
436.0	24.605546
437.0	24.641316
438.0	24.431694
439.0	24.029404
440.0	23.438660000000002
441.0	22.590372000000002
442.0	21.579698
443.0	20.462106
444.0	19.200356
445.0	17.886372
446.0	16.554454
447.0	15.225083999999999
448.0	14.011746
449.0	12.914538
450.0	11.984321999999999
451.0	11.304594
452.0	10.854871999999999
453.0	10.601444
454.0	10.603992
455.0	10.876529999999999
456.0	11.319
457.0	12.022934
458.0	12.906011999999999
459.0	13.92874
460.0	15.044274
461.0	16.245264
462.0	17.390981999999997
463.0	18.505242
464.0	19.580302
465.0	20.552462000000002
466.0	21.41545
467.0	22.143884
468.0	22.761675999999998
469.0	23.216984
470.0	23.518922
471.0	23.659062
472.0	23.700026
473.0	23.573312
474.0	23.264318
475.0	22.804208
476.0	22.23032
477.0	21.49434
478.0	20.637722
479.0	19.689376
480.0	18.653319999999997
481.0	17.581396
482.0	16.480562
483.0	15.363655999999999
484.0	14.302805999999999
485.0	13.352598
486.0	12.432672
487.0	11.650338
488.0	11.038426
489.0	10.595172
490.0	10.274516
491.0	10.155838
492.0	10.215618
493.0	10.452582
494.0	10.875256
495.0	11.437874
496.0	12.165230000000001
497.0	12.982059999999999
498.0	13.888755999999999
499.0	14.844354
500.0	15.875902
501.0	16.891672
502.0	17.940566
503.0	18.919096
504.0	19.857642
505.0	20.688682
506.0	21.496888000000002
507.0	22.195922
508.0	22.806952
509.0	23.289013999999998
510.0	23.703456
511.0	24.015292000000002
512.0	24.198943999999997
513.0	24.232264
514.0	24.227265999999997
515.0	24.086734
516.0	23.766666
517.0	23.356143999999997
518.0	22.87222
519.0	22.229536
520.0	21.506394
521.0	20.742386
522.0	19.854604
523.0	18.90077
524.0	17.89235
525.0	16.845709999999997
526.0	15.770552
527.0	14.718032
528.0	13.753613999999999
529.0	12.745684
530.0	11.787636
531.0	10.933174
532.0	10.205524
533.0	9.521484
534.0	9.05177
535.0	8.761004
536.0	8.564808
537.0	8.511986
538.0	8.640562000000001
539.0	8.890462
540.0	9.26982
541.0	9.793042
542.0	10.436804
543.0	11.154359999999999
544.0	11.990986
545.0	12.897975999999998
546.0	13.851222
547.0	14.820148
548.0	15.797894
549.0	16.788478
550.0	17.715656
551.0	18.617844
552.0	19.479264
553.0	20.310304
554.0	21.089502
555.0	21.842926
556.0	22.525495999999997
557.0	23.123394
558.0	23.64838
559.0	24.063018
560.0	24.406214
561.0	24.653859999999998
562.0	24.832906
563.0	24.903858
564.0	24.891901999999998
565.0	24.761758
566.0	24.590454
567.0	24.323208
568.0	24.026072
569.0	23.631328
570.0	23.17994
571.0	22.61301
572.0	22.02746
573.0	21.367234
574.0	20.658596
575.0	19.897821999999998
576.0	19.160764
577.0	18.338347999999996
578.0	17.475849999999998
579.0	16.618056
580.0	15.749285999999998
581.0	14.852585999999999
582.0	14.01596
583.0	13.221767999999999
584.0	12.48226
585.0	11.810764
586.0	11.207966
587.0	10.673572
588.0	10.200036
589.0	9.828322
590.0	9.540104
591.0	9.344593999999999
592.0	9.251983999999998
593.0	9.28844
594.0	9.40359
595.0	9.63683
596.0	9.952096000000001
597.0	10.360658
598.0	10.825374
599.0	11.382112
600.0	11.978148
601.0	12.645528
602.0	13.3427
603.0	14.092889999999999
604.0	14.865228
605.0	15.659714
606.0	16.43117
607.0	17.210956
608.0	17.995739999999998
609.0	18.717216
610.0	19.444278
611.0	20.126064
612.0	20.795012
613.0	21.394184
614.0	21.993258
615.0	22.546467999999997
616.0	23.078902
617.0	23.482368
618.0	23.913176
619.0	24.25598
620.0	24.553606
621.0	24.78371
622.0	25.020086
623.0	25.117596
624.0	25.223729999999996
625.0	25.187274
626.0	25.172084
627.0	25.065264
628.0	24.929632
629.0	24.67934
630.0	24.486867999999998
631.0	24.195122
632.0	23.914939999999998
633.0	23.540776
634.0	23.19317
635.0	22.721692
636.0	22.199548
637.0	21.604296
638.0	21.027664
639.0	20.370966
640.0	19.702312
641.0	19.076778
642.0	18.413514
643.0	17.720752
644.0	17.030929999999998
645.0	16.380406
646.0	15.672552
647.0	14.996058
648.0	14.302805999999999
649.0	13.668942000000001
650.0	12.99921
651.0	12.396902
652.0	11.812527999999999
653.0	11.312532
654.0	10.827824
655.0	10.42818
656.0	10.04843
657.0	9.778734
658.0	9.570974
659.0	9.411528
660.0	9.332442
661.0	9.315978
662.0	9.332735999999999
663.0	9.393986
664.0	9.533439999999999
665.0	9.681714000000001
666.0	9.873206
667.0	10.128496
668.0	10.440135999999999
669.0	10.800972
670.0	11.238052
671.0	11.742948
672.0	12.260584
673.0	12.85221
674.0	13.434232
675.0	14.059178
676.0	14.643650000000001
677.0	15.316517999999999
678.0	15.972039999999998
679.0	16.622074
680.0	17.240356
681.0	17.956932
682.0	18.599518
683.0	19.150669999999998
684.0	19.747686
685.0	20.279728
686.0	20.787564
687.0	21.26404
688.0	21.747866000000002
689.0	22.201214
690.0	22.665831999999998
691.0	23.013634
692.0	23.392796
693.0	23.701103999999997
694.0	23.996476
695.0	24.240398
696.0	24.49804
697.0	24.623382
698.0	24.782729999999997
699.0	24.82781
700.0	24.976475999999998
701.0	25.034982
702.0	25.053896
703.0	25.056542
704.0	25.049878
705.0	24.854956
706.0	24.703546
707.0	24.504507999999998
708.0	24.281558
709.0	23.999318
710.0	23.752358
711.0	23.45091
712.0	23.184742
713.0	22.800483999999997
714.0	22.423772
715.0	22.035006
716.0	21.613606
717.0	21.149478
718.0	20.68486
719.0	20.213578000000002
720.0	19.680066
721.0	19.15655
722.0	18.592364
723.0	18.081588
724.0	17.543960000000002
725.0	16.965073999999998
726.0	16.406866
727.0	15.852186
728.0	15.31544
729.0	14.746158
730.0	14.214704
731.0	13.677565999999999
732.0	13.175806
733.0	12.643078
734.0	12.191298
735.0	11.728346
736.0	11.23423
737.0	10.799894
738.0	10.383786
739.0	9.957975999999999
740.0	9.697394000000001
741.0	9.427894
742.0	9.167508
743.0	8.979152
744.0	8.868117999999999
745.0	8.71318
746.0	8.685837999999999
747.0	8.651244
748.0	8.690933999999999
749.0	8.740522
750.0	8.861748
751.0	9.007767999999999
752.0	9.221114
753.0	9.475032
754.0	9.722384
755.0	10.018638000000001
756.0	10.290588
757.0	10.662889999999999
758.0	10.960614
759.0	11.362217999999999
760.0	11.748142
761.0	12.201588
762.0	12.654152
763.0	13.182371999999999
764.0	13.693932
765.0	14.244691999999999
766.0	14.740473999999999
767.0	15.233022
768.0	15.781234000000001
769.0	16.323468000000002
770.0	16.819053999999998
771.0	17.359327999999998
772.0	17.898818
773.0	18.396756
774.0	18.903906
775.0	19.374698
776.0	19.918499999999998
777.0	20.404580000000003
778.0	20.788936
779.0	21.154966
780.0	21.538145999999998
781.0	21.849492
782.0	22.165737999999997
783.0	22.468753999999997
784.0	22.789214
785.0	23.03539
786.0	23.315866
787.0	23.42788
788.0	23.739715999999998
789.0	24.001669999999997
790.0	24.330264
791.0	24.254804
792.0	24.202962
793.0	24.16386
794.0	24.48481
795.0	24.575166
796.0	24.79302
797.0	25.595934
798.0	26.057318
799.0	25.451776
800.0	25.049388
801.0	24.590552000000002
802.0	24.450216
803.0	24.224325999999998
804.0	24.008922
805.0	23.980501999999998
806.0	24.02029
807.0	23.885442
808.0	23.870742
809.0	23.880346
810.0	23.949632
811.0	23.662786
812.0	23.452772
813.0	23.384074
814.0	23.432878000000002
815.0	23.231096
816.0	22.54441
817.0	21.973755999999998
818.0	21.42868
819.0	21.133994
820.0	21.18368
821.0	20.767082
822.0	20.654284
823.0	20.313832
824.0	20.016598
825.0	19.279148
826.0	18.797674
827.0	18.114712
828.0	17.610208
829.0	17.183908000000002
830.0	16.620407999999998
831.0	16.343362
832.0	15.918532
833.0	16.03868
834.0	16.010651999999997
835.0	15.69617
836.0	15.453228
837.0	14.882573999999998
838.0	14.752038
839.0	14.00077
840.0	13.48235
841.0	13.070064
842.0	12.986078
843.0	12.651506000000001
844.0	12.610346
845.0	12.467168000000001
846.0	12.293022
847.0	11.93934
848.0	11.678366
849.0	11.419547999999999
850.0	11.103988000000001
851.0	10.81969
852.0	10.713262
853.0	10.783332
854.0	10.80009
855.0	10.648679999999999
856.0	10.445526
857.0	10.380258
858.0	10.463557999999999
859.0	10.087434
860.0	9.835182
861.0	9.851645999999999
862.0	9.907015999999999
863.0	9.915836
864.0	9.997176
865.0	10.213560000000001
866.0	10.338902
867.0	10.337432000000002
868.0	10.688664000000001
869.0	10.902892000000001
870.0	10.890544
871.0	10.980312
872.0	11.19356
873.0	11.65269
874.0	11.878188
875.0	11.998531999999999
876.0	12.48177
877.0	12.900818
878.0	13.061048
879.0	13.485779999999998
880.0	13.915216
881.0	14.205982
882.0	14.384538000000001
883.0	14.817599999999999
884.0	15.213814
885.0	15.516928
886.0	15.74811
887.0	16.12149
888.0	16.509472
889.0	16.935086
890.0	17.210074
891.0	17.489472
892.0	17.850504
893.0	18.274354000000002
894.0	18.538169999999997
895.0	18.88166
896.0	19.136558
897.0	19.37558
898.0	19.725244
899.0	20.021791999999998
900.0	20.296191999999998
901.0	20.741699999999998
902.0	20.872138
903.0	21.217097999999996
904.0	21.444948
905.0	21.705137999999998
906.0	21.990416
907.0	22.223558
908.0	22.555386
909.0	22.824298
910.0	22.969337999999997
911.0	23.270982
912.0	23.43719
913.0	23.745596
914.0	24.018330000000002
915.0	24.166506000000002
916.0	24.361721999999997
917.0	24.524303999999997
918.0	24.57007
919.0	24.69992
920.0	24.783612
921.0	24.99
922.0	25.150132
923.0	25.196192
924.0	25.26587
925.0	25.347307999999998
926.0	25.391898
927.0	25.472356
928.0	25.51381
929.0	25.593484
930.0	25.599657999999998
931.0	25.509694
932.0	25.508909999999997
933.0	25.505088
934.0	25.502148000000002
935.0	25.503127999999997
936.0	25.550756
937.0	25.518416000000002
938.0	25.358284
939.0	25.248132000000002
940.0	25.206482
941.0	25.121418
942.0	24.980788
943.0	24.912971999999996
944.0	24.81017
945.0	24.661014
946.0	24.550764
947.0	24.428362
948.0	24.314975999999998
949.0	24.205412
950.0	23.998631999999997
951.0	23.776172
952.0	23.539697999999998
953.0	23.309006
954.0	23.03735
955.0	22.844976
956.0	22.641136
957.0	22.392902000000003
958.0	22.154468
959.0	21.922502
960.0	21.680442
961.0	21.401338
962.0	21.186718
963.0	20.927214
964.0	20.647032
965.0	20.386058
966.0	20.059326
967.0	19.832161999999997
968.0	19.582262
969.0	19.30943
970.0	19.04287
971.0	18.786306
972.0	18.507986
973.0	18.171748
974.0	17.878532
975.0	17.61207
976.0	17.313464
977.0	17.022404
978.0	16.700474
979.0	16.298576
980.0	15.975568
981.0	15.667358
982.0	15.317203999999998
983.0	15.062306
984.0	14.769482
985.0	14.46431
986.0	14.164038
987.0	13.833484
988.0	13.540268
989.0	13.231176000000001
990.0	12.992742
991.0	12.747741999999999
992.0	12.495588
993.0	12.24755
994.0	11.951982
995.0	11.761861999999999
996.0	11.593694
997.0	11.391814
998.0	11.17004
999.0	10.98923
1000.0	10.760498
1001.0	10.547642
1002.0	10.380944
1003.0	10.23659
1004.0	10.106347999999999
1005.0	9.977576000000001
1006.0	9.905546
1007.0	9.801960000000001
1008.0	9.692003999999999
1009.0	9.586458
1010.0	9.509625999999999
1011.0	9.468563999999999
1012.0	9.390262
1013.0	9.348514
1014.0	9.305982
1015.0	9.298632
1016.0	9.284618
1017.0	9.333421999999999
1018.0	9.369094
1019.0	9.350082
1020.0	9.36929
1021.0	9.446612
1022.0	9.545004
1023.0	9.581754
1024.0	9.663780000000001
1025.0	9.748158
1026.0	9.827636
1027.0	9.946608
1028.0	10.075478
