wavelength	a	b	efficiency	c	d
301	12.1163	0.0067	0.054412500000002	-0.040204166666667	0.065867763157896
302	12.1099	0.0115	0.048012500000001	-0.035404166666667	0.058120394736843
303	12.1038	0.0162	0.041912500000001	-0.030704166666667	0.050736184210527
304	12.0979	0.0206	0.0360125	-0.026304166666667	0.043594078947368
305	12.0922	0.0248	0.030312500000001	-0.022104166666667	0.036694078947369
306	12.0868	0.0289	0.024912500000001	-0.018004166666667	0.030157236842106
307	12.0817	0.0327	0.019812500000001	-0.014204166666667	0.02398355263158
308	12.0767	0.0364	0.014812500000002	-0.010504166666667	0.017930921052633
309	12.072	0.0399	0.0101125	-0.007004166666667	0.012241447368421
310	12.0675	0.0432	0.005612500000002	-0.003704166666667	0.00679407894737
311	12.0632	0.0464	0.001312500000001	-0.000504166666667	0.001588815789475
312	12.0591	0.0494	-0.002787499999998	0.002495833333333	-0.003374342105261
313	12.0552	0.0522	-0.0066875	0.005295833333333	-0.008095394736842
314	12.0516	0.0548	-0.010287499999999	0.007895833333333	-0.012453289473683
315	12.0481	0.0573	-0.013787499999999	0.010395833333333	-0.016690131578947
316	12.0447	0.0597	-0.017187499999999	0.012795833333333	-0.02080592105263
317	12.0416	0.0619	-0.020287499999999	0.014995833333333	-0.024558552631577
318	12.0386	0.0639	-0.023287499999999	0.016995833333333	-0.028190131578946
319	12.0358	0.0658	-0.026087499999999	0.018895833333333	-0.031579605263157
320	12.0332	0.0676	-0.028687499999999	0.020695833333333	-0.034726973684209
321	12.0307	0.0693	-0.0311875	0.022395833333333	-0.037753289473684
322	12.0284	0.0708	-0.0334875	0.023895833333333	-0.0405375
323	12.0262	0.0722	-0.0356875	0.025295833333333	-0.043200657894737
324	12.0241	0.0735	-0.037787499999999	0.026595833333333	-0.045742763157893
325	12.0222	0.0746	-0.0396875	0.027695833333333	-0.048042763157894
326	12.0204	0.0757	-0.041487499999999	0.028795833333333	-0.050221710526314
327	12.0187	0.0766	-0.043187499999998	0.029695833333333	-0.052279605263156
328	12.0172	0.0774	-0.044687499999999	0.030495833333333	-0.05409539473684
329	12.0157	0.0782	-0.046187499999999	0.031295833333333	-0.055911184210524
330	12.0144	0.0788	-0.047487499999999	0.031895833333333	-0.057484868421051
331	12.0132	0.0794	-0.0486875	0.032495833333333	-0.0589375
332	12.0121	0.0799	-0.049787499999999	0.032995833333333	-0.060269078947367
333	12.011	0.0803	-0.0508875	0.033395833333333	-0.061600657894737
334	12.0101	0.0806	-0.0517875	0.033695833333333	-0.062690131578947
335	12.0092	0.0808	-0.052687499999999	0.033895833333333	-0.063779605263157
336	12.0084	0.081	-0.053487499999999	0.034095833333333	-0.064748026315788
337	12.0077	0.0811	-0.054187499999999	0.034195833333333	-0.065595394736841
338	12.0071	0.0811	-0.0547875	0.034195833333333	-0.066321710526315
339	12.0065	0.0811	-0.055387499999998	0.034195833333333	-0.067048026315787
340	12.0059	0.0811	-0.055987499999999	0.034195833333333	-0.067774342105262
341	12.0055	0.0809	-0.0563875	0.033995833333333	-0.068258552631578
342	12.005	0.0808	-0.056887499999999	0.033895833333333	-0.068863815789472
343	12.0046	0.0806	-0.057287499999999	0.033695833333333	-0.069348026315788
344	12.0043	0.0804	-0.057587499999999	0.033495833333333	-0.069711184210524
345	12.004	0.0801	-0.0578875	0.033195833333333	-0.070074342105263
346	12.0037	0.0798	-0.058187499999999	0.032895833333333	-0.070437499999999
347	12.0034	0.0795	-0.0584875	0.032595833333333	-0.070800657894737
348	12.0032	0.0792	-0.0586875	0.032295833333333	-0.071042763157894
349	12.003	0.0789	-0.058887499999999	0.031995833333333	-0.071284868421051
350	12.0027	0.0786	-0.059187499999998	0.031695833333333	-0.071648026315787
350.743	12.0026	0.0783	-0.0592875	0.031395833333333	-0.071769078947368
351	12.0025	0.0782	-0.0593875	0.031295833333333	-0.071890131578947
352	12.0023	0.0779	-0.059587499999999	0.030995833333333	-0.072132236842104
353	12.0021	0.0776	-0.059787499999999	0.030695833333333	-0.072374342105262
354	12.0018	0.0772	-0.0600875	0.030295833333333	-0.0727375
355	12.0016	0.0769	-0.060287499999999	0.029995833333333	-0.072979605263157
356	12.0013	0.0766	-0.060587499999999	0.029695833333333	-0.073342763157893
357	12.001	0.0764	-0.0608875	0.029495833333333	-0.073705921052631
358	12.0007	0.0761	-0.061187499999999	0.029195833333333	-0.074069078947367
359	12.0003	0.0759	-0.0615875	0.028995833333333	-0.074553289473684
360	11.9999	0.0757	-0.061987499999999	0.028795833333333	-0.075037499999999
361	11.9994	0.0756	-0.0624875	0.028695833333333	-0.075642763157894
362	11.999	0.0754	-0.062887499999999	0.028495833333333	-0.076126973684209
363	11.9986	0.0753	-0.0632875	0.028395833333333	-0.076611184210526
364	11.9982	0.0751	-0.063687499999999	0.028195833333333	-0.07709539473684
365	11.9979	0.0749	-0.0639875	0.027995833333333	-0.077458552631578
366	11.9976	0.0745	-0.064287499999999	0.027595833333333	-0.077821710526314
367	11.9975	0.0741	-0.064387499999999	0.027195833333333	-0.077942763157893
368	11.9975	0.0736	-0.064387499999999	0.026695833333333	-0.077942763157893
369	11.9977	0.0729	-0.064187499999999	0.025995833333333	-0.077700657894736
370	11.998	0.0721	-0.0638875	0.025195833333333	-0.0773375
371	11.9983	0.0713	-0.063587499999999	0.024395833333333	-0.076974342105262
372	11.9985	0.0705	-0.063387499999999	0.023595833333333	-0.076732236842104
373	11.9986	0.0699	-0.0632875	0.022995833333333	-0.076611184210526
374	11.9984	0.0695	-0.063487499999999	0.022595833333333	-0.076853289473683
375	11.9979	0.0694	-0.0639875	0.022495833333333	-0.077458552631578
376	11.997	0.0697	-0.064887499999999	0.022795833333333	-0.078548026315788
377	11.9955	0.0705	-0.066387499999999	0.023595833333333	-0.080363815789473
378	11.9934	0.0718	-0.0684875	0.024895833333333	-0.082905921052631
379	11.9909	0.0738	-0.070987499999999	0.026895833333333	-0.085932236842104
380	11.9884	0.0767	-0.073487499999999	0.029795833333333	-0.088958552631577
381	11.9862	0.0807	-0.075687499999999	0.033795833333333	-0.091621710526314
382	11.9847	0.0859	-0.077187499999999	0.038995833333333	-0.093437499999999
383	11.9843	0.0925	-0.0775875	0.045595833333333	-0.093921710526315
384	11.9852	0.1008	-0.076687499999999	0.053895833333333	-0.092832236842103
385	11.9878	0.1109	-0.074087499999999	0.063995833333333	-0.089684868421051
386	11.9923	0.1231	-0.069587499999999	0.076195833333333	-0.084237499999999
387	11.9992	0.1377	-0.062687499999999	0.090795833333333	-0.075884868421051
388	12.0098	0.1558	-0.052087499999999	0.108895833333333	-0.063053289473683
389	12.0258	0.1789	-0.036087499999999	0.131995833333333	-0.043684868421051
390	12.0493	0.2086	-0.012587499999999	0.161695833333333	-0.015237499999998
391	12.0832	0.2468	0.021312500000001	0.199895833333333	0.025799342105264
392	12.1314	0.2958	0.0695125	0.248895833333333	0.084146710526316
393	12.2007	0.3582	0.1388125	0.311295833333333	0.168036184210526
394	12.3039	0.4378	0.242012500000001	0.390895833333333	0.292962500000001
395	12.4697	0.5386	0.4078125	0.491695833333333	0.493667763157894
396	12.7511	0.663	0.6892125	0.616095833333333	0.83430986842105
397	13.2675	0.8115	1.2056125	0.764595833333333	1.45942565789473
398	14.1015	0.9848	2.0396125	0.937895833333333	2.46900460526315
399	15.1675	1.1833	3.1056125	1.13639583333333	3.75942565789473
400	16.4716	1.4069	4.4097125	1.35999583333333	5.33807302631577
401	17.7545	1.6556	5.6926125	1.60869583333333	6.89105723684208
402	19.0336	1.9346	6.9717125	1.88769583333333	8.4394414473684
403	20.3178	2.2548	8.2559125	2.20789583333333	9.99399934210523
404	21.2715	2.6316	9.2096125	2.58469583333333	11.1484782894737
405	22.3787	3.0844	10.3168125	3.03749583333333	12.4887730263158
406	23.0639	3.6398	11.0020125	3.59289583333333	13.3182256578947
407	23.3298	4.3699	11.2679125	4.32299583333333	13.6401046052631
