Wavelength,R
860.000000, 85.802883
859.000000, 85.807406
858.000000, 85.980230
857.000000, 86.239005
856.000000, 86.509452
855.000000, 85.873739
854.000000, 86.284111
853.000000, 85.871460
852.000000, 86.167491
851.000000, 86.224932
850.000000, 86.337414
849.000000, 86.677271
848.000000, 86.206562
847.000000, 86.106900
846.000000, 86.161738
845.000000, 86.320282
844.000000, 86.409231
843.000000, 86.307175
842.000000, 86.390368
841.000000, 86.468271
840.000000, 86.312891
839.000000, 86.413858
838.000000, 86.427463
837.000000, 86.761536
836.000000, 86.472255
835.000000, 86.342488
834.000000, 86.641391
833.000000, 86.587756
832.000000, 86.403507
831.000000, 86.494493
830.000000, 86.655332
829.000000, 86.798599
828.000000, 86.731007
827.000000, 86.544247
826.000000, 86.882604
825.000000, 86.818719
824.000000, 86.700333
823.000000, 86.791151
822.000000, 86.869534
821.000000, 86.865761
820.000000, 86.876969
819.000000, 86.886171
818.000000, 86.791739
817.000000, 87.021635
816.000000, 86.964891
815.000000, 86.899255
814.000000, 86.834150
813.000000, 86.891555
812.000000, 86.921113
811.000000, 86.976202
810.000000, 86.998468
809.000000, 87.040370
808.000000, 86.981818
807.000000, 87.019950
806.000000, 87.054424
805.000000, 87.065548
804.000000, 87.187012
803.000000, 87.217834
802.000000, 87.193387
801.000000, 87.332959
800.000000, 87.160385
799.000000, 87.224523
798.000000, 87.381917
797.000000, 87.363131
796.000000, 87.248878
795.000000, 87.305384
794.000000, 87.280288
793.000000, 87.431898
792.000000, 87.451478
791.000000, 87.373081
790.000000, 87.465717
789.000000, 87.412199
788.000000, 87.422976
787.000000, 87.519553
786.000000, 87.456535
785.000000, 87.559826
784.000000, 87.579532
783.000000, 87.579689
782.000000, 87.626704
781.000000, 87.566567
780.000000, 87.603448
779.000000, 87.576815
778.000000, 87.634897
777.000000, 87.644137
776.000000, 87.666064
775.000000, 87.639873
774.000000, 87.747060
773.000000, 87.728897
772.000000, 87.694442
771.000000, 87.775840
770.000000, 87.734230
769.000000, 87.735187
768.000000, 87.742296
767.000000, 87.691359
766.000000, 87.686489
765.000000, 87.663928
764.000000, 87.670703
763.000000, 87.742441
762.000000, 87.749748
761.000000, 87.809034
760.000000, 87.772970
759.000000, 87.830990
758.000000, 87.924660
757.000000, 87.892036
756.000000, 87.882387
755.000000, 87.930326
754.000000, 87.987860
753.000000, 87.929475
752.000000, 87.895166
751.000000, 88.023247
750.000000, 88.033337
749.000000, 88.097977
748.000000, 88.131785
747.000000, 88.095899
746.000000, 88.080316
745.000000, 88.139881
744.000000, 88.160007
743.000000, 88.180425
742.000000, 88.197411
741.000000, 88.214703
740.000000, 88.259141
739.000000, 88.314506
738.000000, 88.304161
737.000000, 88.296401
736.000000, 88.367807
735.000000, 88.362707
734.000000, 88.373344
733.000000, 88.416447
732.000000, 88.427331
731.000000, 88.506445
730.000000, 88.547782
729.000000, 88.575699
728.000000, 88.584637
727.000000, 88.570664
726.000000, 88.578273
725.000000, 88.589796
724.000000, 88.609604
723.000000, 88.625342
722.000000, 88.628210
721.000000, 88.684438
720.000000, 88.709141
719.000000, 88.724798
718.000000, 88.755819
717.000000, 88.756804
716.000000, 88.737444
715.000000, 88.748676
714.000000, 88.850897
713.000000, 88.875784
712.000000, 88.814204
711.000000, 88.822413
710.000000, 88.878484
709.000000, 88.895893
708.000000, 88.907452
707.000000, 88.926196
706.000000, 88.920562
705.000000, 88.935916
704.000000, 88.979787
703.000000, 89.012625
702.000000, 89.016942
701.000000, 89.038083
700.000000, 89.089597
699.000000, 89.102167
698.000000, 89.130197
697.000000, 89.109977
696.000000, 89.171534
695.000000, 89.176935
694.000000, 89.196449
693.000000, 89.232937
692.000000, 89.256610
691.000000, 89.213303
690.000000, 89.183072
689.000000, 89.245913
688.000000, 89.271520
687.000000, 89.299745
686.000000, 89.308162
685.000000, 89.299200
684.000000, 89.298824
683.000000, 89.299388
682.000000, 89.340985
681.000000, 89.376281
680.000000, 89.299107
679.000000, 89.309454
678.000000, 89.387553
677.000000, 89.378920
676.000000, 89.325325
675.000000, 89.305333
674.000000, 89.353360
673.000000, 89.348106
672.000000, 89.354862
671.000000, 89.373284
670.000000, 89.379450
669.000000, 89.427134
668.000000, 89.483384
667.000000, 89.541887
666.000000, 89.536718
665.000000, 89.591441
664.000000, 89.610083
663.000000, 89.696656
662.000000, 89.718270
661.000000, 89.685960
660.000000, 89.725190
659.000000, 89.714310
658.000000, 89.750196
657.000000, 89.818235
656.000000, 89.827660
655.000000, 89.757646
654.000000, 89.781517
653.000000, 89.822417
652.000000, 89.809442
651.000000, 89.858625
650.000000, 89.927913
649.000000, 89.894307
648.000000, 89.866447
647.000000, 89.889083
646.000000, 89.916443
645.000000, 89.971222
644.000000, 89.982135
643.000000, 89.970694
642.000000, 89.990135
641.000000, 89.996806
640.000000, 90.014479
639.000000, 90.033693
638.000000, 90.096972
637.000000, 90.113111
636.000000, 90.112208
635.000000, 90.103580
634.000000, 90.111630
633.000000, 90.138968
632.000000, 90.148895
631.000000, 90.186853
630.000000, 90.247670
629.000000, 90.211007
628.000000, 90.267202
627.000000, 90.244902
626.000000, 90.304715
625.000000, 90.265253
624.000000, 90.300544
623.000000, 90.295538
622.000000, 90.368895
621.000000, 90.404338
620.000000, 90.363450
619.000000, 90.396607
618.000000, 90.414821
617.000000, 90.371141
616.000000, 90.420019
615.000000, 90.445208
614.000000, 90.422214
613.000000, 90.464792
612.000000, 90.483801
611.000000, 90.505242
610.000000, 90.481133
609.000000, 90.567150
608.000000, 90.547316
607.000000, 90.521308
606.000000, 90.535124
605.000000, 90.576149
604.000000, 90.568579
603.000000, 90.626748
602.000000, 90.669016
601.000000, 90.642753
600.000000, 90.642460
599.000000, 90.683372
598.000000, 90.656894
